x,y,token
-22.123093,-53.10577,[
-58.997185,14.092356,Emma
-17.393017,27.653416,by
-57.936623,15.661589,Jane
-22.081415,-53.052452,]
-15.341172,-31.911268,I
-14.157293,-53.96977,CHAPTER
-57.453564,16.302916,Woodhouse
-17.849945,27.17268,","
-40.60837,-17.53569,handsome
-40.701458,-17.927671,clever
-17.753012,27.387947,and
24.69426,-12.355431,rich
-17.65679,27.483778,with
-24.609602,27.360506,a
-54.5335,-23.556116,comfortable
-51.968235,7.188456,home
-30.887419,-22.501959,happy
-49.799377,-13.942386,disposition
-27.648285,40.90569,seemed
-18.14789,27.260567,to
-33.465363,-9.873837,unite
-15.91799,26.05207,some
-17.553888,27.590345,of
-17.730824,27.434677,the
-21.375107,-27.127298,best
18.266266,-20.221218,blessings
-44.88503,-6.5462646,existence
-17.885141,27.198078,;
-29.389336,30.985104,had
70.03074,-19.539179,lived
-42.23056,9.845313,nearly
55.68035,14.811025,twenty
10.935355,51.672844,-
-18.376125,25.184761,one
56.1983,13.510287,years
-17.531853,27.658092,in
3.1099973,-16.235424,world
-33.428585,-27.01682,very
-35.71971,40.278183,little
-39.131535,-19.082878,distress
-5.7670565,23.848988,or
21.092077,-28.78271,vex
-52.8978,26.19416,her
-16.81107,-48.02393,.
-52.926117,26.179375,She
-29.716763,31.123335,was
-52.40602,12.053746,youngest
56.531822,16.604507,two
55.4869,-21.53882,daughters
-18.88325,1.0582392,most
-51.677063,-9.959968,affectionate
-35.69656,-15.03818,indulgent
52.763004,-32.59528,father
-52.787926,-14.934937,consequence
52.77208,-32.616917,sister
-17.895885,-38.894825,'
-31.38387,25.670843,s
-55.311203,10.69723,marriage
-45.87813,1.4846271,been
-52.882336,14.139159,mistress
-26.26412,31.362652,his
47.987576,-17.077925,house
-6.170705,38.073944,from
-47.957825,10.6272,early
-47.409405,-0.36107415,period
-40.990944,-1.5793025,Her
52.763718,-32.630123,mother
56.942894,-22.208956,died
-33.25593,-26.972181,too
-4.953623,47.81473,long
-23.270418,-2.005165,ago
-25.014013,28.478806,for
-29.250637,30.908476,have
-27.464582,16.085726,more
-27.488155,16.135242,than
-24.479685,27.210323,an
-38.93929,-14.632724,remembrance
-32.291588,9.831197,caresses
15.883001,-4.8970027,place
-43.8471,-2.7133768,supplied
-42.520668,-15.572217,excellent
21.992252,-4.9966145,woman
-26.111929,28.942,as
-34.512527,-30.247332,governess
-28.156713,29.209688,who
23.52708,-3.26551,fallen
-31.591644,19.403193,short
-50.856125,-14.725102,affection
18.785515,7.6496234,Sixteen
-57.560455,16.060717,Miss
-57.854397,15.726578,Taylor
-56.85522,18.317593,Mr
-46.97369,-6.877811,family
-38.77261,-26.7546,less
-35.029423,-30.39676,friend
-41.3406,-18.134691,fond
27.163097,10.822824,both
-25.313326,28.159441,but
-54.99419,-21.503576,particularly
-1.2784685,-1.8365209,Between
